Account,User Name,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Views,Like and View Counts Disabled,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,Overperforming
Aftershockpc,aftershockpc,26253,2021-07-26 07:11:10 EDT,26/7/2021,7:11:10,Album,"2,446",2398,48,0,FALSE,https://www.instagram.com/p/CRycm30Bm3T/,https://www.instagram.com/p/CRycm30Bm3T/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/223207139_128218206155588_9138877613590938735_n.jpg?_nc_cat=107&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=6NOTALR3oZoAX8Zf5-Q&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=b2ed21512104823d0af64399077dbc9d&oe=61284FE5,,"[ ACHIEVEMENT UNLOCKED ?? ]

This month marks another major milestone for the AFTERSHOCK PC team - the launch of our brand new AFTERSHOCK Australia building and we couldn't be more excited and humbled to share the good news with you!

Located in heart of Melbourne, the new 40,000 sqft facility will allow us to produce some of the most EPIC PCs on the planet. As a proud Singaporean company, its been just over 3 years since we've expanded regionally, and our mission to bring our local Singaporean brand and flavor of custom PC building with quality service beyond our shores has been a blast ?? With our strong emphasis on premium components, passionate assembly and comprehensive after-sales service, the brand has been well received regionally, even winning the best PC builder award in Australia vs seasoned competition.

So what does this mean for our users and team here at our HQ in Singapore? With a regional presence and a growing user base, we'll be able to achieve quality advantages in our products that are only possible with the massive volume that a regional presence brings. This means better deals, superior components and even technological advantages in future when you select to build a system with AFTERSHOCK PC. 

Its been an epic 9 year journey, and its only thanks to you - our fans and supporters that we've been able to come this far. We are eternally grateful for your support and can't wait to show you what we have in store both locally and regionally! Stay tuned ??

Singapore's #1 Custom PC Company
www.aftershockpc.com

#aftershockpc #aftershockpcau #thenextlevel",,,,1
Aftershockpc,aftershockpc,26417,2021-08-01 03:10:53 EDT,1/8/2021,3:10:53,Album,"1,892",1830,62,0,FALSE,https://www.instagram.com/p/CSBd4M5BSTc/,https://www.instagram.com/p/CSBd4M5BSTc/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/229257778_155588706680330_6690571415877284218_n.jpg?_nc_cat=108&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=lCNhEJeVwR4AX-uHijL&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=8b8df128e6456627750e13f807c16b09&oe=61297D9E,,"HOW TO SPEND YOUR TIME IN QUARANTINE ?

Serving a 14-day hotel SHN can get pretty dull but certainly not for this customer ??

Upon request, we assisted with reuniting Vicky with his custom watercooled ULTRACORE along with his gaming peripherals - the first of a kind that we’ve seen and definitely the ultimate hotel gaming setup ??

Thanks for doing your part to keep Singapore safe Vicky, we hope the PC keeps you occupied in quarantine ????

??: @vickygoesnuts

Join more than 150,00 happy customers on the journey to Custom PC perfection with our award-winning line of PCs. 
 
?? Singapore's #1 Custom PC Company ?? 
www.aftershockpc.com

#aftershockpc #ultracorepc #setupsundays #gamingpc #setupsundays #hotelquarantine",,,,1
Aftershockpc,aftershockpc,26795,2021-08-14 04:52:33 EDT,14/8/2021,4:52:33,Album,"1,652",1601,51,0,FALSE,https://www.instagram.com/p/CSjH2JsBAID/,https://www.instagram.com/p/CSjH2JsBAID/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/236004600_419566312804522_5921511411019735166_n.jpg?_nc_cat=111&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=g7aadJaxw4YAX9T_TjT&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=360fdd3433f495d763452bf629ae1d9f&oe=6128F694,,"? Win an epic gaming PC worth more than $6000 ?

This year, to celebrate Intel Gamers Day 2021 we have teamed up with Intel and Gigabyte to build the ultimate gaming PC custom built by our award-winning team.
This system is both beauty and beast, featuring custom open-loop chrome tubing water-cooling and the latest and greatest components and is designed for extreme performance.

Sign up to win now, link in bio

This giveaway ends on 3rd September 2021, the winner will be announced on Facebook and Instagram on 5th September 2021. Do note that this contest is only for participants living in Singapore. Good luck everyone!

#aftershockpc #intelgamersday2021",,,,1
Aftershockpc,aftershockpc,26287,2021-07-28 07:59:09 EDT,28/7/2021,7:59:09,Album,"1,314",1267,47,0,FALSE,https://www.instagram.com/p/CR3rsAShBT8/,https://www.instagram.com/p/CR3rsAShBT8/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/225796383_1017980822292643_8560152210466583065_n.jpg?_nc_cat=108&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=kgkxiCrpl2AAX9U8S-Y&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=88b6787a962e47748e6a03731a6a4a3c&oe=612991C2,,"A RTX 30 Series Gaming PC from just 1775SGD fully loaded?? ??

Is the great graphic card famine of 2021 finally over? We've got it done folks, the search for a future proof gaming PC is over. This Mid-Year Sale, we've launched 3 gorgeous RTX 3060 and RTX 3060Ti Ready to Ship builds at prices so unbelievable, you'd think we took a time machine.

Not to mention we're placing a potent emphasis on quality components with our fully transparent ready to ship packages!

And guess what, these builds are ready in stock, MINIMAL WAITING TIME!

???? RTX 3060 + 3060Ti Gaming PCs
? Prices from $1775
?? No Waiting Time - Get Same Day Delivery!
?? Awarded the Best PC Builder in SG and AU

Over 150,000 happy customers, find out why we're Singapore's #1 Custom PC company:

www.aftershockpc.com

#aftershockpc #rtx3060 #rtx3060ti #gamingpc",,,,1
Aftershockpc,aftershockpc,25858,2021-06-30 08:01:39 EDT,30/6/2021,8:01:39,Album,"1,249",1217,32,0,FALSE,https://www.instagram.com/p/CQvlt0Ch1mu/,https://www.instagram.com/p/CQvlt0Ch1mu/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/209317818_834130744195504_4759193755258151190_n.jpg?_nc_cat=105&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=VVlokKdMXAIAX_wvDH5&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=27ee06a501452359bba635330be12a9b&oe=6129E11A,,"Time to set your wallet on FIRE ???????? With only just 7 days left of the Great Singapore Sale, enjoy incredible savings of MORE THAN $500 on our award-winning range of RTX 30 series desktops and laptops. From ultra light-weight gaming laptops that start at just SGD 1465 to 4k Ready Gaming PCs, there’s something for everyone!
 
We’ve slashed prices on select Ready to Ship (YES, 1-day delivery!) desktop packages that feature unbeatable hardware and value to cash discounts and free upgrades on our gaming laptop packages, you will find deals that simply can't beat ??

Looking to customize your own PC? We have also got free PSU and thermal compound upgrades along with discounts on our 7000mb/s 2TB SSDs that will allow you to customize your fantasy PC.
 
*GUNDAM FANS! If you are looking for an ABSOLUTELY STUNNING centerpiece to complete your setup, this may be your calling - We've collaborated with ASUS to bring you this exclusive GUNDAM EDITION Build - 3 UNITS REMAINING. 
 
Get our GSS deals while stocks last, only 7 days left! 
 
Key promotion details include: 
? Ready to ship Next-gen RTX30 Gaming Laptops 
? Further cash discounts on RTX 2060 and 3070 based RTS builds
? SAME DAY DELIVERY available FOR RTX 3070, 3070Ti, 3080Ti and EVEN AMD RADEON Builds - YES WE ACTUALLY HAVE STOCK! 
? EXCLUSIVE INTEL SUPREME SERIES DEALS saving up to $1149 
? Many RTS builds is packaged with our new 7000mb/s SSDs and Gold Certified PSU (For a truly future-proof PC) 
? Cash discounts on select gaming laptops 
? Free 800W bronze PSU upgrade on select desktops 
? Free thermal compound upgrades for custom builds 
? Free color calibration service for our gaming laptop custom range 
 
Custom PCs, Built to Perfection 
www.aftershockpc.com",,,,1
Aftershockpc,aftershockpc,21227,2020-11-22 02:27:41 EST,22/11/2020,2:27:41,Photo,"1,228",1223,5,0,FALSE,https://www.instagram.com/p/CH4newHBqZI/,https://www.instagram.com/p/CH4newHBqZI/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/126786610_470988840540795_8477247622157526125_n.jpg?_nc_cat=109&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=cvSNt8HZxogAX_TgkWR&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=90c39e13affcf6ae5ff87a552f321c47&oe=6128E3D1,,"Flawless cable management on this workstation setup featuring the compact Aftershock Impulse ????

?? : kymochi

Custom PCs Built To Perfection

www.aftershockpc.com

#setupsundays #aftershockpc #custompc

#workstation #minimalistsetup",,,,1
Aftershockpc,aftershockpc,22608,2021-01-10 03:38:36 EST,10/1/2021,3:38:36,Photo,"1,053",1048,5,0,FALSE,https://www.instagram.com/p/CJ26jBVBpoz/,https://www.instagram.com/p/CJ26jBVBpoz/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/137336010_1176102839473900_2757742622481805883_n.jpg?_nc_cat=101&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=IauSI66p71IAX8y6X2n&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=3ce7ff0b53227c31c66aa855bd77b1e4&oe=61294606,,"“From my very first gaming laptop, the MX 15 elite to the latest Rapid, Aftershock PC never fails to impress !! Thank you Aftershock PC for the awesome builds over the years and the awesome customer service by the team !!!”

Thank you for the kind words Kenneth ?? we hope that your PCs continue to serve you well! 

??: @nameiskenneth

#aftershockpc #setupsundays #gamingsetup",,,,1
Aftershockpc,aftershockpc,29009,2021-08-19 09:02:43 EDT,19/8/2021,9:02:43,IGTV,"1,047",999,48,6290,FALSE,https://www.instagram.com/tv/CSwcaTZhAAw/,https://www.instagram.com/tv/CSwcaTZhAAw/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/239805200_4205941576165533_6334121679855135319_n.jpg?_nc_cat=101&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=Y_w3HvPmm7wAX9Cv93M&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=37f969c0051d54c84202b8c181b0d684&oe=612960AB,GIVEAWAY: $6000 Intel epic PC,"In partnership with Intel, featuring the AORUS Elite Z590, bring your gaming setup to the NEXT LEVEL with this exclusive Intel Blue inspired Explorer - worth over $6000!! This PC will be the new centrepiece for your gaming setup!

Giveaway ends Sept 3rd, participate now!! 

Learn more about this giveaway from our link in bio.

#aorusgaming #intelgamerdays #aftershockpc","$6,000PC GIVEAWAY",,,1
Aftershockpc,aftershockpc,25296,2021-06-01 05:34:53 EDT,1/6/2021,5:34:53,Photo,"1,047",1037,10,0,FALSE,https://www.instagram.com/p/CPkp3gsh9Ps/,https://www.instagram.com/p/CPkp3gsh9Ps/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/194992824_489623748939334_4391289366210496543_n.jpg?_nc_cat=109&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=4WsfzZIcVEsAX8k2Sqy&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=fcac7ec3d7ed0503666b3e603cadc463&oe=6129E03E,,"?????????? ?????????????????? ????????????????????. Are you ready to smash games in glorious 4K, enjoy buttery smooth frame rates and enjoy a level of flagship performance? We are ??

Coming soon.

#aftershockpc #rtx3080ti #zotac",,,,1
Aftershockpc,aftershockpc,23062,2021-01-28 03:38:22 EST,28/1/2021,3:38:22,Photo,"1,026",1021,5,0,FALSE,https://www.instagram.com/p/CKlQ1HihZcx/,https://www.instagram.com/p/CKlQ1HihZcx/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/142744862_1247265792322529_6143417620017892831_n.jpg?_nc_cat=111&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=amUbRiS4ws8AX-8TRkf&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=0cc995f98b39bc3cf8c9512ac60cd468&oe=61292FF0,,"Congratulations on your very first Custom Gaming PC @itsmintmindy! We loved your unboxing video and we're thrilled that you chose us ? Enjoy your new Aftershock Hypergate!

Check out the unboxing video here: https://www.youtube.com/watch?v=E3fwnvA1cLk&t=306s

#aftershockpc",,,,1
Aftershockpc,aftershockpc,29241,2021-08-20 03:42:39 EDT,20/8/2021,3:42:39,Album,988,973,15,0,FALSE,https://www.instagram.com/p/CSycnfjhnPH/,https://www.instagram.com/p/CSycnfjhnPH/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/239541475_346803433825757_3652586981431412648_n.jpg?_nc_cat=110&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=kZsc7CYXqnUAX87jXBo&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=f1c7c01230a463d8b157c2cdcec7f206&oe=6128E800,,"You asked, we delivered! Introducing the brand new Aftershock CLOUD custom PC, with a full white aesthetic theme! 

A while ago, we launched the Templar. We wanted the product to spearhead and take the local custom PC scene to new heights. We aimed for the Templar to be the FIRST easy-to-customise custom PC configurator that would make it easy to configure absolutely STUNNING and beautiful white themed PC builds.  We've been blown away by the response since! 

Enter the Aftershock CLOUD, our mind-blowingly beautiful white themed build at an unbeatable price point with absolute best in class qualities. Built on an innovative new chassis that delivers a near unmatched full white design and packed with features we know you'll love, we want to make the white aesthetic PC of your fantasy a REALITY ??

Frankly, we could just let the pictures do the talking on just how amazing the Cloud looks. But it is in the fine details that you'll see what makes this chassis extremely special at its price point. With a striking steel white body and a beautiful edgeless tempered glass window that can be easily opened to access the innards, the Cloud will look amazing in almost any setting. 

We know you'll love the absolutely tool-less snap on/off fine mesh panel that doubles up as dust filter while delivering potent airflow - simply take it off to allow for easy cleaning and maintenance. 

We've packed the CLOUD Custom PC configurator with a full suite of awesome best-in-class white components, from coolers to ram and even RARE color-themed graphics to allow you to bring your perfect aesthetic build to life. This is a fully themed build, with absolutely NO compromise.

Select from RYZEN 9 or i9 processors and even top tier RTX 30 series graphics cards for a build where the limit is as high as the clouds in the sky!!

The best part?  All this comes from a starting configuration cost of just 1275 SGD - Turn your fantasy into a reality with the AFTERSHOCK CLOUD!!

Singapore's #1 Custom PC Company:
www.aftershockpc.com

*This is not the end!! Stay tuned as we unveil our new",,,,1
Aftershockpc,aftershockpc,19410,2020-09-17 04:04:08 EDT,17/9/2020,4:04:08,Album,986,920,66,0,FALSE,https://www.instagram.com/p/CFOvMAYh6ch/,https://www.instagram.com/p/CFOvMAYh6ch/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/119547181_451133662473612_5836058742888373955_n.jpg?_nc_cat=103&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=84X_cgrTFmIAX9UKOrc&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=93c0e1d8c906b02995014cb90c506281&oe=6128F3DF,,"MAJOR KEY ALERT ??????? ARE YOU RTX 3080 READY? One important factor to keep in mind when configuring a system with the new 3080 GPU is the PSU selection

Protip: Nvidia recommends a 750W PSU as the base power supply requirement for systems built with the new RTX 3080 graphics cards. Don't forget this 750W magic number!

We've worked hard to prepare a line of premium, gold certified 750W modular psus (and above!) for your careful consideration when building a system around the new RTX 3080. Don't forget to select the ideal PSU for pairing your your RTX 3080 build tonight!

GOLD PSUs are also often far more efficient and silent than their bronze counterparts - a premium psu for a premium build !

Stay tuned, we're almost there!
www.aftershockpc.com

#aftershockpc #custompc #750w #psumatters #3080",,,,1
