Account,User Name,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Views,Like and View Counts Disabled,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,overperforming
Aftershockpc,aftershockpc,26155,2021-07-21 06:21:53 EDT,21/7/2021,6:21:53,Photo,0,0,0,0,TRUE,https://www.instagram.com/p/CRle_iuBInB/,https://www.instagram.com/p/CRle_iuBInB/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/222078355_318904416596459_2422146294708030252_n.jpg?_nc_cat=105&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=WyW3ZPfB5j4AX8Z0BH_&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=50cf10cb5f9db5985eeb889d19cea749&oe=612A8638,,"[ BREAKING BOUNDARIES ?? ] After a refreshing break, new and exciting things are happening back in the Aftershock Labs ??????? 

At AFTERSHOCK PC, the team is constantly pushing the envelope of what a performance PC means to us. Seen here is a masterpiece in the making, exploring a brand new concept that will take more than a few revisions to complete ??

Of course, all this is not possible without the partnerships that we have solidified over the 9 years of business. Together with award-winning brands like BYKSKI, EK, INWINN and more, we collaborate to deliver to you custom PCs that exceed expectations in both performance and quality.

Over 150,000 happy customers, find out why we're Singapore's #1 Custom PC company:
www.aftershockpc.com

#aftershockpc #extremepcs #custompcs",,,,0
Logitech G,logitechg,3434416,2021-06-28 15:27:20 EDT,28/6/2021,15:27:20,IGTV,30,27,3,3502,FALSE,https://www.instagram.com/tv/CQrNhikjZ1v/,https://www.instagram.com/tv/CQrNhikjZ1v/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/208927202_123618239921531_3260972680303419463_n.jpg?_nc_cat=107&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=j9WrIq0BLV8AX-oVxHG&_nc_oc=AQkUFbR1WznaSCPTXJ9otlEKqh9jpfX2dAynwyksZvdio2JW-1uUAIb4mxgEfSNwbe4&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=17cd9b919e90d89efb3e51af79627255&oe=612BB25A,Adaptive Esports Tournament: Richard Jacob’s,"Welcome to Brooklyn, NY, home of Richard Jacobs (@breadwinner1007).

Richard is a member of the fearless esports team, @the_quadgods. Hungry for competition, Richard’s tenacious spirit drives him to keep pushing further and further in the esports space.

@the_quadgods organization is was founded by a group of 8 quadriplegic gamers with the goal to integrate and highlight all gamers with disabilities as serious esports competitors. Richard represented the Quad Gods in last fall’s tournament, bringing his passion to the Rocket League arena. 

Sign up for the next Adaptive Esports Tournament in our link in bio!",,,,0
Logitech G,logitechg,2997199,2020-12-10 13:46:40 EST,10/12/2020,13:46:40,IGTV,35,35,0,3221,FALSE,https://www.instagram.com/tv/CIoLZ5eDMXM/,https://www.instagram.com/tv/CIoLZ5eDMXM/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/130430932_144710020435379_1024966775002019254_n.jpg?_nc_cat=104&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=_Sw7Ih6eHLUAX9IvdA8&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=c2c59f3cf9fd564907eadf1a5c597387&oe=612BAB8C,"Dear Wires, Emad GG","@emadgg_ is breaking up with wires. It’s hard to do, but it’s time to move on with wireless. Visit DearWires.com to learn more.",,,,0
Logitech G,logitechg,2997199,2020-12-10 13:49:29 EST,10/12/2020,13:49:29,IGTV,40,40,0,3558,FALSE,https://www.instagram.com/tv/CIoLto-jSD4/,https://www.instagram.com/tv/CIoLto-jSD4/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/130296205_685031978825699_3464951208526668623_n.jpg?_nc_cat=101&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=UnNvDiIi_yAAX9uhDVh&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=2263955fef71ba2c6c7464754be416ed&oe=612BA903,"Dear Wires, Meg Kaylee",Watch as @meg_kaylee breaks up with wires to focus on her relationship with wireless peripherals. Visit DearWires.com to learn more.,,,,0
Logitech G,logitechg,2997199,2020-12-10 13:42:37 EST,10/12/2020,13:42:37,IGTV,53,50,3,2747,FALSE,https://www.instagram.com/tv/CIoK9xIjlsn/,https://www.instagram.com/tv/CIoK9xIjlsn/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/130111844_233217051485233_7310284719241649460_n.jpg?_nc_cat=109&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=m0qTGEpMXKAAX_1fRp3&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=d510d41cd5c12eb9c7dfe29c2bdec859&oe=612A7B93,"Dear Wires, Techniq","Breaking up is hard to do, as @frankellerbe knows something about. Visit DearWires.com to learn more.",,,,0
ErgoTune,ergotunechair,N/A,2020-09-18 07:47:21 EDT,18/9/2020,7:47:21,Video,3,3,0,691,FALSE,https://www.instagram.com/p/CFRtgf3gIyG/,https://www.instagram.com/p/CFRtgf3gIyG/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/119895959_317214126235171_6571594787649541986_n.jpg?_nc_cat=109&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=J2gNhCzObZ0AX86JlYy&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=d9fe25f9f893dfa425027cb920d44629&oe=612BEA65,,"Type. Write. Game. Read. Mobile phone. Regardless of activity, your arms and elbows will never be left hanging.","GyroBrace™ 5D Armrest Full arm support, no matter the activity. ZERGOTUNE ERCOTUNE",,,0
SteelSeries,steelseries,1050621,2021-03-29 13:15:15 EDT,29/3/2021,13:15:15,Photo,"3,560",3560,0,0,FALSE,https://www.instagram.com/p/CNArrGDloqB/,https://www.instagram.com/p/CNArrGDloqB/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/165720702_3874859219276402_4788777380051085103_n.jpg?_nc_cat=108&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=cjhPv2tAoQUAX-X3a1l&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=28bdbf99185ce611d6f94fabf667988d&oe=612AC100,,"We’re excited to be the official peripheral partner for Red Bull Flick, the premier 2v2 CS:GO tournament ?? 
 
Teams will compete for the chance to win it all & challenge their CS:GO idols at the Red Bull Flick Invitational in Helsinki",RedBull FLICK 2052 cs/Go MORE INFO: REDBULL COM/ /FLICK ?oc Ãsteelseries,,,0
SteelSeries,steelseries,1050970,2021-03-23 11:35:06 EDT,23/3/2021,11:35:06,Photo,"3,735",3735,0,0,FALSE,https://www.instagram.com/p/CMxDcLHr21h/,https://www.instagram.com/p/CMxDcLHr21h/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/162902730_1504572503219650_5257821261029404641_n.jpg?_nc_cat=105&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=qFYIgaFoYTQAX8ymxoq&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=a7398c0bc0b93659fe229824179670b6&oe=612A56A1,,"We’ve joined forces with @redbullgaming as the official peripheral partner for Red Bull Solo Q, the official 1v1 League of Legends tournament ?? 

The best amateur players from all over the world will battle to be crowned the ultimate solo champ of the Rift, and earn their place in League of Legends history.",,,,0
Logitech G,logitechg,2843662,2020-10-23 12:00:21 EDT,23/10/2020,12:00:21,Photo,"5,243",5231,12,0,FALSE,https://www.instagram.com/p/CGsSTIlr0sA/,https://www.instagram.com/p/CGsSTIlr0sA/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/122260873_361945905042747_5173061467918471981_n.jpg?_nc_cat=101&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=vJ5ewsFTF3sAX_aErWf&_nc_oc=AQmdgQ5pKLhLSu9RaxqYNsYp9pqi77t8C6d3iN5tVCXJgSjx51SXVuja_ZzYiKK5GXY&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=bd5a23b8124984c02c4d79d234580027&oe=612B15C1,,"Our #CreatorSpotlight is back tomorrow when @imdomesticdan will join us to whip up some spooky Halloween food. What's your favorite Halloween snack?

Make sure you join us live on Twitch at 12pm PT.
.
.
.
#streaming #twitch #streamer #gaming #stream #gamer #logitechg #keepplaying",OCTOBER 23 CREATLIGHT EDS OFFEEA DOMESTICDAN #CREATORSPOTLIGHT #KEEPPL AYING,,,0
Logitech G,logitechg,3438944,2021-07-07 12:00:23 EDT,7/7/2021,12:00:23,Photo,"5,278",5254,24,0,FALSE,https://www.instagram.com/p/CRCCmKCLwv5/,https://www.instagram.com/p/CRCCmKCLwv5/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/210610969_191733262899235_1875082812575893912_n.jpg?_nc_cat=105&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=fOT6JqS8YYUAX8f-G5d&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=d4eba337a34fe984d12ba75dcec75cca&oe=612C0EC7,,"RACE DAY ??

The Logitech McLaren G Challenge Pro-Am featuring team captains @williambyron and @landonorris kicks off TODAY.

Check out the full rosters below and make sure to tune in LIVE on our Twitch at 12pm PDT. 

?? TEAM LANDO
?? @asapferg
?? @connorball
?? @tkanaan
?? @mickyblue
?? @robertwickens
?? TEAM BYRON
?? @annemunition
?? @roryplays
?? @pkligerman
?? @frosenqvist
?? @benjamin_daly
.
.
#logitechg #logitechgchallenge #landonorris #asapferg #simracing #williambyron #NASCAR #formulaone #formula1",CCHALLENGE21 McLaren PRO-AM NEW YORK 3PM EDT LONDON 8PM BST TOKYO 4AM+1DAYJST PARIS 9PM CEST LOS ANGELES 12PM PDT SÃO PAULO 4PM BRT SYDNEY 5AM 1DAY AEST WATCH LIVE AT TWITCH.TV/LOGITECHG splunk> QNTMPAY,,,0
